year,total_biomass_g_m2,mean_weighted_biomass_G_m2,eez,model,esm,scenario
1978,1573611120412.7322,60523504631.258934,8382,apecosm,ipsl,historical
1979,1492570514541.978,57406558251.61454,8382,apecosm,ipsl,historical
1980,1603234691119.5645,61662872735.36786,8382,apecosm,ipsl,historical
1981,1688721491399.055,64950826592.27134,8382,apecosm,ipsl,historical
1982,1545850423328.4766,59455785512.63371,8382,apecosm,ipsl,historical
1983,1565410523685.8384,60208097064.839935,8382,apecosm,ipsl,historical
1984,1581190273806.213,60815010531.008194,8382,apecosm,ipsl,historical
1985,1595240856732.1868,61355417566.62257,8382,apecosm,ipsl,historical
1986,1540586639549.9087,59253332290.3811,8382,apecosm,ipsl,historical
1987,1565293295813.5723,60203588300.52201,8382,apecosm,ipsl,historical
1988,1674164720471.5452,64390950787.36713,8382,apecosm,ipsl,historical
1989,1644359536884.0544,63244597572.46363,8382,apecosm,ipsl,historical
1990,1662997588376.2837,63961445706.78014,8382,apecosm,ipsl,historical
1991,1515619086567.1418,58293041791.043915,8382,apecosm,ipsl,historical
1992,1507673871092.6072,57987456580.484894,8382,apecosm,ipsl,historical
1993,1449457582228.3064,55748368547.24255,8382,apecosm,ipsl,historical
1994,1522674958186.8708,58564421468.7258,8382,apecosm,ipsl,historical
1995,1674042268757.3232,64386241106.05089,8382,apecosm,ipsl,historical
1996,1620039809057.4688,62309223425.28726,8382,apecosm,ipsl,historical
1997,1591399697711.7727,61207680681.22203,8382,apecosm,ipsl,historical
1998,1621473476822.226,62364364493.162544,8382,apecosm,ipsl,historical
1999,1592285855084.9956,61241763657.11522,8382,apecosm,ipsl,historical
2000,1601912005013.2522,61612000192.81739,8382,apecosm,ipsl,historical
2001,1597323268557.9053,61435510329.1502,8382,apecosm,ipsl,historical
2002,1527601942364.941,58753920860.19003,8382,apecosm,ipsl,historical
2003,1470433404553.2185,56555130944.35456,8382,apecosm,ipsl,historical
2004,1585536523521.5354,60982173981.59752,8382,apecosm,ipsl,historical
2005,1575505306850.1826,60596357955.77625,8382,apecosm,ipsl,historical
2006,1534608290347.7368,59023395782.60526,8382,apecosm,ipsl,historical
2007,1468458264980.7131,56479164037.719734,8382,apecosm,ipsl,historical
2008,1464497538501.8235,56326828403.91628,8382,apecosm,ipsl,historical
2009,1487893742875.9524,57226682418.30586,8382,apecosm,ipsl,historical
2010,1584981964855.6455,60960844802.140205,8382,apecosm,ipsl,historical
2011,1600162609734.6375,61544715759.02451,8382,apecosm,ipsl,historical
2012,1598225805560.4556,61470223290.78675,8382,apecosm,ipsl,historical
2013,1576357215713.5652,60629123681.29097,8382,apecosm,ipsl,historical
2014,1418036111446.3577,54539850440.24453,8382,apecosm,ipsl,historical
1950,2904832414669.3115,16137957859.273952,8383,apecosm,ipsl,historical
1951,2695717283964.8716,14976207133.138176,8383,apecosm,ipsl,historical
1952,2556629761541.4927,14203498675.230515,8383,apecosm,ipsl,historical
1953,2553028208708.5386,14183490048.380772,8383,apecosm,ipsl,historical
1954,2600288929818.568,14446049610.103155,8383,apecosm,ipsl,historical
1955,2538687021332.549,14103816785.180828,8383,apecosm,ipsl,historical
1956,2567412986826.841,14263405482.371338,8383,apecosm,ipsl,historical
1957,2661278286242.2505,14784879368.012503,8383,apecosm,ipsl,historical
1958,2724965723475.4434,15138698463.752464,8383,apecosm,ipsl,historical
1959,2731534905793.739,15175193921.076326,8383,apecosm,ipsl,historical
1960,2789514150034.9287,15497300833.52738,8383,apecosm,ipsl,historical
1961,2839971829752.0034,15777621276.40002,8383,apecosm,ipsl,historical
1962,2816431599751.161,15646842220.839783,8383,apecosm,ipsl,historical
1963,2712686812198.5034,15070482289.991686,8383,apecosm,ipsl,historical
1964,2665948305422.2627,14810823919.012571,8383,apecosm,ipsl,historical
1965,2727733428898.5376,15154074604.991877,8383,apecosm,ipsl,historical
1966,2795335461759.9263,15529641454.221813,8383,apecosm,ipsl,historical
1967,2885187348258.577,16028818601.436539,8383,apecosm,ipsl,historical
1968,2741409837092.793,15230054650.515516,8383,apecosm,ipsl,historical
1969,2806042468746.54,15589124826.369667,8383,apecosm,ipsl,historical
1970,2816546530279.688,15647480723.776045,8383,apecosm,ipsl,historical
1971,2690386577280.773,14946592096.004293,8383,apecosm,ipsl,historical
1972,2672300142149.817,14846111900.832315,8383,apecosm,ipsl,historical
1973,2575484806317.386,14308248923.98548,8383,apecosm,ipsl,historical
1974,2518515600687.7266,13991753337.154036,8383,apecosm,ipsl,historical
1975,2426278676479.6777,13479325980.442654,8383,apecosm,ipsl,historical
1976,2349826711453.4053,13054592841.407806,8383,apecosm,ipsl,historical
1977,2345599631607.259,13031109064.484772,8383,apecosm,ipsl,historical
1978,2462494500861.668,13680525004.787045,8383,apecosm,ipsl,historical
1979,2496192408172.4995,13867735600.95833,8383,apecosm,ipsl,historical
1980,2627688658449.798,14598270324.7211,8383,apecosm,ipsl,historical
1981,2702977186952.8135,15016539927.515629,8383,apecosm,ipsl,historical
1982,2702025563283.582,15011253129.353235,8383,apecosm,ipsl,historical
1983,2801175587179.742,15562086595.443012,8383,apecosm,ipsl,historical
1984,2744419950103.723,15246777500.576239,8383,apecosm,ipsl,historical
1985,2533173648644.279,14073186936.912659,8383,apecosm,ipsl,historical
1986,2447331542396.8315,13596286346.649065,8383,apecosm,ipsl,historical
1987,2555266213993.3535,14195923411.074186,8383,apecosm,ipsl,historical
1988,2499968663005.5557,13888714794.47531,8383,apecosm,ipsl,historical
1989,2374763349692.7305,13193129720.515167,8383,apecosm,ipsl,historical
1990,2325075694151.922,12917087189.732899,8383,apecosm,ipsl,historical
1991,2396573672884.2163,13314298182.69009,8383,apecosm,ipsl,historical
1992,2666603346839.2593,14814463037.995884,8383,apecosm,ipsl,historical
1993,2746345472079.885,15257474844.88825,8383,apecosm,ipsl,historical
1994,2695893593184.148,14977186628.800821,8383,apecosm,ipsl,historical
1995,2605573200782.358,14475406671.013098,8383,apecosm,ipsl,historical
1996,2622072451766.1084,14567069176.478378,8383,apecosm,ipsl,historical
1997,2645886728613.0757,14699370714.517086,8383,apecosm,ipsl,historical
1998,2566607546174.0293,14258930812.077942,8383,apecosm,ipsl,historical
1999,2479339779294.2173,13774109884.967875,8383,apecosm,ipsl,historical
2000,2490019441070.94,13833441339.282999,8383,apecosm,ipsl,historical
2001,2648204107700.884,14712245042.782686,8383,apecosm,ipsl,historical
2002,2734303333144.319,15190574073.023994,8383,apecosm,ipsl,historical
2003,2763876530015.953,15354869611.199741,8383,apecosm,ipsl,historical
2004,2839955873030.293,15777532627.946072,8383,apecosm,ipsl,historical
2005,2711922767667.553,15066237598.153072,8383,apecosm,ipsl,historical
2006,2616238387713.342,14534657709.518566,8383,apecosm,ipsl,historical
2007,2716219985061.861,15090111028.12145,8383,apecosm,ipsl,historical
2008,2696819339030.5137,14982329661.28063,8383,apecosm,ipsl,historical
2009,2731451676548.6343,15174731536.381302,8383,apecosm,ipsl,historical
2010,2749120305658.137,15272890586.98965,8383,apecosm,ipsl,historical
2011,2766934445721.9937,15371858031.788853,8383,apecosm,ipsl,historical
2012,2783777638405.9785,15465431324.47766,8383,apecosm,ipsl,historical
2013,2810885340749.252,15616029670.829178,8383,apecosm,ipsl,historical
2014,2928244094546.989,16268022747.48327,8383,apecosm,ipsl,historical
1950,2467248964372.734,42538775247.805756,8384,apecosm,ipsl,historical
1951,2280894993554.4097,39325775750.9381,8384,apecosm,ipsl,historical
1952,2214525468038.4946,38181473586.8706,8384,apecosm,ipsl,historical
1953,2247733910664.0703,38754032942.48397,8384,apecosm,ipsl,historical
1954,2355748502840.721,40616353497.253815,8384,apecosm,ipsl,historical
1955,2359324493126.2363,40678008502.17648,8384,apecosm,ipsl,historical
1956,2375618214500.3486,40958934732.76463,8384,apecosm,ipsl,historical
1957,2462801285888.8877,42462091136.01531,8384,apecosm,ipsl,historical
1958,2325873229662.5615,40101262580.38899,8384,apecosm,ipsl,historical
1959,2393913110411.0537,41274363972.60437,8384,apecosm,ipsl,historical
1960,2332214094494.7437,40210587836.116264,8384,apecosm,ipsl,historical
1961,2330478984855.528,40180672152.68152,8384,apecosm,ipsl,historical
1962,2238418364081.9453,38593420070.378365,8384,apecosm,ipsl,historical
1963,2223941602969.7905,38343820740.85845,8384,apecosm,ipsl,historical
1964,2065097471511.8513,35605128819.16985,8384,apecosm,ipsl,historical
1965,2151451918799.5227,37093998599.99177,8384,apecosm,ipsl,historical
1966,2207467527204.9673,38059784951.809784,8384,apecosm,ipsl,historical
1967,2291256981261.528,39504430711.405655,8384,apecosm,ipsl,historical
1968,2400208713342.4526,41382908850.73194,8384,apecosm,ipsl,historical
1969,2206497129182.041,38043053951.4145,8384,apecosm,ipsl,historical
1970,2186957341640.4424,37706161062.76625,8384,apecosm,ipsl,historical
1971,2501482782580.7393,43129013492.77136,8384,apecosm,ipsl,historical
1972,2252942308104.803,38843832898.35867,8384,apecosm,ipsl,historical
1973,2148719638531.9487,37046890319.51636,8384,apecosm,ipsl,historical
1974,2195873829131.7727,37859893605.720215,8384,apecosm,ipsl,historical
1975,2231890814163.4404,38480876106.26621,8384,apecosm,ipsl,historical
1976,2176229644995.1238,37521200775.77799,8384,apecosm,ipsl,historical
1977,2056335666719.636,35454063219.30407,8384,apecosm,ipsl,historical
1978,2103797474556.3323,36272370250.971245,8384,apecosm,ipsl,historical
1979,2182363207132.4573,37626951847.11133,8384,apecosm,ipsl,historical
1980,2245748996723.6226,38719810288.33832,8384,apecosm,ipsl,historical
1981,2221037872383.0894,38293756420.398094,8384,apecosm,ipsl,historical
1982,2233601223371.3823,38510365920.19624,8384,apecosm,ipsl,historical
1983,2217730039016.3496,38236724810.62672,8384,apecosm,ipsl,historical
1984,2315067104890.2407,39914950084.3145,8384,apecosm,ipsl,historical
1985,2268890037198.6885,39118793744.80498,8384,apecosm,ipsl,historical
1986,2329313868378.3945,40160583937.55853,8384,apecosm,ipsl,historical
1987,2233136808333.884,38502358764.37731,8384,apecosm,ipsl,historical
1988,2272994753082.0596,39189564708.31137,8384,apecosm,ipsl,historical
1989,2349071225993.373,40501228034.3685,8384,apecosm,ipsl,historical
1990,2344713865065.6177,40426101121.82099,8384,apecosm,ipsl,historical
1991,2325495092356.0483,40094742971.656006,8384,apecosm,ipsl,historical
1992,2213831403372.8267,38169506954.7039,8384,apecosm,ipsl,historical
1993,2314315085984.056,39901984241.104416,8384,apecosm,ipsl,historical
1994,2377672184532.148,40994348009.17496,8384,apecosm,ipsl,historical
1995,2380493125750.0405,41042984926.72483,8384,apecosm,ipsl,historical
1996,2346207181952.2373,40451847964.69375,8384,apecosm,ipsl,historical
